,id,place,lat,lon,dt,sunrise,sunset,moonrise,moonset,moon_phase,temp_day,temp_min,temp_max,temp_night,temp_eve,temp_morn,feels_like_day,feels_like_night,feels_like_eve,feels_like_morn,pressure,humidity,dew_point,wind_speed,wind_deg,wind_gust,weather_id,weather_main,weather_description,weather_icon,clouds,pop,uvi,rain
21,2,Bayeux,49.2764624,-0.7024738,1657540800,1657512549,1657570020,1657563600,1657502220,0.41,22.9,14.28,22.9,15.6,19.33,16.31,22.39,15.43,18.86,15.8,1025,44,9.7,6.67,26,9.42,800,Clear,clear sky,01d,9,0.0,9.0,
22,2,Bayeux,49.2764624,-0.7024738,1657627200,1657599007,1657656377,1657654560,1657591320,0.45,22.99,14.84,22.99,14.84,20.25,16.21,22.47,14.55,19.66,16.03,1025,43,9.34,5.62,9,6.47,800,Clear,clear sky,01d,0,0.0,9.0,
23,2,Bayeux,49.2764624,-0.7024738,1657713600,1657685468,1657742731,1657744560,1657681500,0.5,25.41,14.17,25.41,17.92,21.11,17.85,24.89,17.88,20.76,17.44,1022,34,7.82,5.88,20,5.02,804,Clouds,overcast clouds,04d,90,0.0,9.0,
24,3,Le Havre,49.4938975,0.1079732,1657108800,1657080028,1657138065,1657107120,1657063620,0.23,18.48,15.32,18.6,17.15,18.37,16.97,18.03,17.22,18.09,16.65,1028,63,10.91,5.1,341,6.4,804,Clouds,overcast clouds,04d,94,0.0,7.11,
25,3,Le Havre,49.4938975,0.1079732,1657195200,1657166477,1657224434,1657197960,1657150920,0.25,18.75,15.96,19.92,15.96,19.2,17.44,18.3,15.6,18.79,17.54,1029,62,10.9,6.84,354,9.28,802,Clouds,scattered clouds,03d,48,0.0,7.61,
26,3,Le Havre,49.4938975,0.1079732,1657281600,1657252929,1657310801,1657289040,1657238280,0.3,20.72,13.44,20.72,17.46,20.19,14.93,20.31,17.3,19.83,14.33,1032,56,10.65,5.74,346,6.06,800,Clear,clear sky,01d,0,0.0,7.88,
27,3,Le Havre,49.4938975,0.1079732,1657368000,1657339382,1657397165,1657380420,1657325820,0.33,20.03,17.21,20.71,17.45,20.25,18.01,19.66,16.74,19.77,17.98,1029,60,11.01,6.21,342,7.41,800,Clear,clear sky,01d,1,0.0,7.73,
28,3,Le Havre,49.4938975,0.1079732,1657454400,1657425838,1657483526,1657471980,1657413600,0.37,21.31,14.41,21.65,17.73,21.06,15.67,21.01,17.57,20.79,15.2,1027,58,12.04,7.64,17,9.71,800,Clear,clear sky,01d,0,0.0,8.03,
29,3,Le Havre,49.4938975,0.1079732,1657540800,1657512295,1657569885,1657563480,1657501980,0.41,22.27,15.59,22.31,18.2,20.8,16.27,21.94,17.9,20.32,15.6,1024,53,10.72,7.54,12,10.61,800,Clear,clear sky,01d,8,0.0,9.0,
30,3,Le Havre,49.4938975,0.1079732,1657627200,1657598754,1657656241,1657654440,1657591080,0.45,22.11,15.26,22.85,17.61,21.06,16.4,21.81,17.2,20.76,16.13,1025,55,10.25,7.06,2,8.26,800,Clear,clear sky,01d,0,0.0,9.0,
31,3,Le Havre,49.4938975,0.1079732,1657713600,1657685215,1657742595,1657744440,1657681200,0.5,22.25,16.14,22.25,18.89,21.58,17.79,21.86,18.79,21.44,17.11,1022,51,10.25,5.48,352,5.88,804,Clouds,overcast clouds,04d,90,0.0,9.0,
32,4,Rouen,49.4404591,1.0939658,1657108800,1657079806,1657137813,1657106880,1657063380,0.23,23.41,11.16,23.92,15.17,21.69,15.02,22.72,14.96,21.3,14.69,1027,35,6.72,5.78,347,6.31,803,Clouds,broken clouds,04d,74,0.0,7.03,
33,4,Rouen,49.4404591,1.0939658,1657195200,1657166255,1657224183,1657197720,1657150680,0.25,21.72,13.6,23.09,13.6,21.61,17.29,21.2,13.0,20.95,17.35,1027,48,10.03,7.0,15,9.98,803,Clouds,broken clouds,04d,79,0.0,7.52,
34,4,Rouen,49.4404591,1.0939658,1657281600,1657252707,1657310549,1657288800,1657238040,0.3,25.8,9.27,26.34,16.21,23.92,13.68,25.38,15.74,23.44,12.91,1031,36,9.15,5.69,359,6.31,800,Clear,clear sky,01d,1,0.0,8.01,
35,4,Rouen,49.4404591,1.0939658,1657368000,1657339160,1657396914,1657380180,1657325580,0.33,25.42,14.18,25.42,14.98,22.19,17.93,24.88,14.41,21.4,17.82,1028,33,7.53,6.82,0,8.64,800,Clear,clear sky,01d,7,0.0,7.83,
36,4,Rouen,49.4404591,1.0939658,1657454400,1657425615,1657483275,1657471740,1657413360,0.37,25.56,11.1,26.52,17.44,24.57,14.98,25.22,16.83,24.15,14.41,1026,40,10.67,6.94,27,10.26,801,Clouds,few clouds,02d,12,0.0,7.92,
37,4,Rouen,49.4404591,1.0939658,1657540800,1657512073,1657569634,1657563240,1657501740,0.41,27.67,11.43,27.67,18.7,24.07,15.23,26.67,18.09,23.47,14.71,1023,25,5.77,6.52,2,9.24,800,Clear,clear sky,01d,6,0.0,8.0,
38,4,Rouen,49.4404591,1.0939658,1657627200,1657598532,1657655990,1657654200,1657590840,0.45,28.2,13.27,29.06,16.8,25.67,15.81,27.03,16.18,25.18,15.56,1024,25,6.03,6.46,3,7.94,800,Clear,clear sky,01d,0,0.0,8.0,
39,4,Rouen,49.4404591,1.0939658,1657713600,1657684992,1657742344,1657744140,1657680960,0.5,30.42,12.63,30.42,19.71,26.27,17.38,28.58,19.36,26.27,16.48,1021,20,4.76,6.45,353,6.48,804,Clouds,overcast clouds,04d,89,0.0,8.0,
40,5,Paris,48.8588897,2.3200410217200766,1657105200,1657079674,1657137356,1657106580,1657063080,0.23,22.39,13.83,25.57,19.51,25.23,14.19,21.76,19.06,24.64,13.47,1027,41,8.25,4.06,352,9.42,802,Clouds,scattered clouds,03d,38,0.0,6.84,
41,5,Paris,48.8588897,2.3200410217200766,1657191600,1657166123,1657223727,1657197360,1657150440,0.25,21.82,15.92,24.2,17.39,22.55,16.49,21.57,16.59,22.04,16.31,1026,58,12.83,5.66,0,8.97,802,Clouds,scattered clouds,03d,48,0.0,7.53,
42,5,Paris,48.8588897,2.3200410217200766,1657278000,1657252573,1657310095,1657288440,1657237800,0.3,22.57,11.65,26.3,20.99,25.31,11.83,21.8,20.61,24.97,11.16,1031,35,6.13,4.43,22,9.48,800,Clear,clear sky,01d,0,0.0,8.0,
43,5,Paris,48.8588897,2.3200410217200766,1657364400,1657339025,1657396460,1657379760,1657325340,0.33,28.17,17.06,28.39,19.7,25.07,18.52,27.32,19.06,24.34,18.05,1026,32,10.01,5.76,344,9.88,802,Clouds,scattered clouds,03d,29,0.0,7.78,
44,5,Paris,48.8588897,2.3200410217200766,1657450800,1657425479,1657482823,1657471260,1657413240,0.37,23.89,13.97,26.06,20.36,24.97,14.81,23.35,19.78,24.54,14.25,1025,39,8.86,5.36,22,10.63,800,Clear,clear sky,01d,1,0.0,7.92,
45,5,Paris,48.8588897,2.3200410217200766,1657537200,1657511935,1657569183,1657562700,1657501620,0.41,26.63,15.5,28.62,22.32,26.66,16.53,26.63,21.73,26.66,16.01,1022,35,9.86,4.59,22,10.14,800,Clear,clear sky,01d,4,0.0,8.0,
46,5,Paris,48.8588897,2.3200410217200766,1657623600,1657598393,1657655541,1657653660,1657590780,0.45,27.13,16.86,29.1,23.05,27.63,17.39,26.43,22.4,26.75,17.14,1023,28,7.2,4.57,13,10.44,800,Clear,clear sky,01d,0,0.0,8.0,
47,5,Paris,48.8588897,2.3200410217200766,1657710000,1657684852,1657741896,1657743660,1657680900,0.5,29.26,17.15,30.92,23.24,29.69,18.39,27.61,22.74,27.92,17.77,1021,18,2.66,3.41,11,8.72,802,Clouds,scattered clouds,03d,39,0.0,8.0,
48,6,Amiens,49.8941708,2.2956951,1657105200,1657079387,1657137655,1657106580,1657063140,0.23,20.62,10.21,23.75,14.63,21.95,11.77,19.99,14.45,21.51,11.17,1027,48,9.16,5.79,309,7.72,804,Clouds,overcast clouds,04d,88,0.0,6.67,
49,6,Amiens,49.8941708,2.2956951,1657191600,1657165837,1657224024,1657197420,1657150380,0.25,19.07,11.77,20.84,11.77,20.46,15.31,18.52,11.07,19.79,15.32,1027,57,10.09,7.04,9,10.52,804,Clouds,overcast clouds,04d,96,0.0,4.85,
50,6,Amiens,49.8941708,2.2956951,1657278000,1657252289,1657310390,1657288560,1657237740,0.3,22.68,8.61,26.19,15.97,23.86,9.79,22.23,15.58,23.55,9.0,1031,47,10.54,4.06,9,5.71,800,Clear,clear sky,01d,2,0.0,7.87,
51,6,Amiens,49.8941708,2.2956951,1657364400,1657338744,1657396753,1657379940,1657325220,0.33,25.86,13.68,25.86,14.1,21.33,17.21,25.39,13.52,20.77,16.92,1027,34,8.68,6.53,17,8.68,801,Clouds,few clouds,02d,14,0.0,7.8,
52,6,Amiens,49.8941708,2.2956951,1657450800,1657425200,1657483114,1657471560,1657413000,0.37,22.21,10.82,24.57,15.45,21.94,14.17,21.82,14.83,21.44,13.78,1027,51,11.3,6.83,23,9.88,803,Clouds,broken clouds,04d,64,0.0,6.13,
53,6,Amiens,49.8941708,2.2956951,1657537200,1657511658,1657569472,1657563060,1657501320,0.41,25.36,10.93,26.72,16.59,23.89,14.3,24.92,16.37,23.38,13.95,1023,37,9.34,5.2,17,10.35,802,Clouds,scattered clouds,03d,29,0.0,7.0,
54,6,Amiens,49.8941708,2.2956951,1657623600,1657598118,1657655827,1657654080,1657590420,0.45,26.11,12.34,27.81,16.72,25.52,15.0,26.11,15.91,25.07,14.8,1024,35,9.28,5.28,26,9.01,800,Clear,clear sky,01d,0,0.0,7.0,
55,6,Amiens,49.8941708,2.2956951,1657710000,1657684580,1657742179,1657744020,1657680480,0.5,28.67,12.12,30.09,19.32,23.42,16.33,27.34,18.93,23.07,15.74,1021,24,6.23,5.16,341,7.75,803,Clouds,broken clouds,04d,65,0.0,7.0,
56,7,Lille,50.6365654,3.0635282,1657105200,1657078982,1657137692,1657106340,1657062960,0.23,21.09,13.77,23.08,16.37,21.93,14.14,20.4,16.13,21.54,13.52,1026,44,8.57,4.98,322,8.06,804,Clouds,overcast clouds,04d,99,0.0,6.62,
57,7,Lille,50.6365654,3.0635282,1657191600,1657165433,1657224059,1657197300,1657150200,0.25,18.94,12.52,20.1,12.52,18.45,16.85,18.48,11.86,17.63,16.76,1026,61,11.29,7.54,345,10.96,804,Clouds,overcast clouds,04d,98,0.04,6.49,
58,7,Lille,50.6365654,3.0635282,1657278000,1657251887,1657310424,1657288440,1657237500,0.3,23.02,10.23,24.99,17.51,23.07,11.51,22.53,16.96,22.66,10.96,1031,44,10.27,4.47,340,5.74,800,Clear,clear sky,01d,1,0.0,7.59,
